datapath   port   port-speed(B/s)
07          2        2640.0
07          3        2580.0
07          4        1380.0
07          5          60.0

08          1        2577.0
08          2        1380.0

datapath   port   port-speed(B/s)
01          1          59.6
01          2          59.6
01          3        1371.8
01          4        2496.5
01          5        1811.3
01          6        2621.6

02          1        1373.1
02          2        1877.6

03          1        1938.4
03          2        1309.1

04          1        1811.3
04          2        1811.3

05          1        1811.3
05          2        1307.8

06          1        1306.5
06          2        2556.5

07          1        1369.0
07          2        2494.0
07          3        2556.5
07          4        1244.0
07          5          59.5

08          1        2619.0
08          2        1244.0

datapath   port   port-speed(B/s)
01          1          60.0
01          2          60.0
01          3        1380.0
01          4        2582.6
01          5        2010.0
01          6        2640.0

02          1        1378.6
02          2        2008.0

03          1        1947.0
03          2        1320.0

04          1        2012.0
04          2        2012.0

05          1        2012.0
05          2        1258.3

06          1        1259.5
06          2        2582.2

07          1        1259.5
07          2        2585.2
07          3        2582.2
07          4        1322.6
07          5          60.1

08          1        2645.3
08          2        1322.6

datapath   port   port-speed(B/s)
01          1           0.0
01          2           0.0
01          3        1316.1
01          4        2629.5
01          5        2004.0
01          6        2632.1

02          1        1314.7
02          2        2002.0

03          1        1998.0
03          2        1371.8

04          1        2000.0
04          2        2000.0

05          1        2000.0
05          2        1373.1

06          1        1371.8
06          2        2624.3

07          1        1370.4
07          2        2621.6
07          3        2621.6
07          4        1370.4
07          5          59.6

08          1        2619.0
08          2        1369.0

datapath   port   port-speed(B/s)
01          1          59.9
01          2          59.9
01          3        1377.2
01          4        2634.7
01          5        2006.0
01          6        2634.7

02          1        1377.2
02          2        2006.0

03          1        2012.0
03          2        1381.4

04          1        2008.0
04          2        2006.0

05          1        2006.0
05          2        1377.2

06          1        1378.6
06          2        2577.4

07          1        1381.4
07          2        2642.6
07          3        2582.6
07          4        1321.3
07          5           0.0

08          1        2645.3
08          2        1322.6

datapath   port   port-speed(B/s)
01          1          59.8
01          2          59.8
01          3        1374.5
01          4        2629.5
01          5        2002.0
01          6        2569.7

02          1        1374.5
02          2        1942.2

03          1        1942.2
03          2        1314.7

04          1        2002.0
04          2        2004.0

05          1        2002.0
05          2        1374.5

06          1        1374.5
06          2        2629.5

07          1        1314.7
07          2        2629.5
07          3        2629.5
07          4        1374.5
07          5          59.8

08          1        2567.2
08          2        1373.1

datapath   port   port-speed(B/s)
01          1          59.9
01          2          59.9
01          3        1318.7
01          4        2514.5
01          5        1948.1
01          6        2577.4

02          1        1318.7
02          2        2008.0

03          1        2006.0
03          2        1377.2

04          1        1946.1
04          2        2006.0

05          1        2008.0
05          2        1378.6

06          1        1377.2
06          2        2634.7

07          1        1377.2
07          2        2512.0
07          3        2634.7
07          4        1377.2
07          5          59.9

08          1        2580.0
08          2        1380.0

datapath   port   port-speed(B/s)
01          1          59.8
01          2          59.8
01          3        1375.9
01          4        2632.1
01          5        2004.0
01          6        2569.3

02          1        1375.9
02          2        2004.0

03          1        2006.0
03          2        1377.2

04          1        2006.0
04          2        1946.1

05          1        1944.2
05          2        1316.1

06          1        1317.4
06          2        2574.9

07          1        1377.2
07          2        2634.7
07          3        2574.9
07          4        1377.2
07          5          59.9

08          1        2569.3
08          2        1375.9

datapath   port   port-speed(B/s)
01          1          59.9
01          2          59.9
01          3        1377.2
01          4        2634.7
01          5        1946.1
01          6        2571.9

02          1        1377.2
02          2        1946.1

03          1        1944.2
03          2        1375.9

04          1        1944.2
04          2        1944.2

05          1        1946.1
05          2        1377.2

06          1        1375.9
06          2        2632.1

07          1        1375.9
07          2        2632.1
07          3        2632.1
07          4        1375.9
07          5          59.8

08          1        2571.9
08          2        1377.2

datapath   port   port-speed(B/s)
01          1          59.7
01          2          59.7
01          3        1373.1
01          4        2567.2
01          5        2000.0
01          6        2626.9

02          1        1375.9
02          2        1941.2

03          1        1939.2
03          2        1374.5

04          1        2002.0
04          2        2002.0

05          1        2002.0
05          2        1314.7

06          1        1314.7
06          2        2629.5

07          1        1374.5
07          2        2569.7
07          3        2629.5
07          4        1314.7
07          5          59.8

08          1        2624.3
08          2        1312.1

datapath   port   port-speed(B/s)
01          1           0.0
01          2           0.0
01          3        1318.7
01          4        2574.4
01          5        2008.0
01          6        2637.4

02          1        1317.4
02          2        2004.0

03          1        2006.0
03          2        1317.4

04          1        2008.0
04          2        2008.0

05          1        2008.0
05          2        1378.6

06          1        1380.0
06          2        2514.0

07          1        1318.7
07          2        2574.4
07          3        2511.5
07          4        1378.6
07          5          59.9

08          1        2637.4
08          2        1378.6

datapath   port   port-speed(B/s)
01          1          59.8
01          2          59.8
01          3        1374.5
01          4        2632.1
01          5        1939.2
01          6        2569.3

02          1        1374.5
02          2        2004.0

03          1        2004.0
03          2        1375.9

04          1        1939.2
04          2        1939.2

05          1        1939.2
05          2        1374.5

06          1        1373.1
06          2        2567.2

07          1        1375.9
07          2        2629.5
07          3        2569.7
07          4        1314.7
07          5          59.8

08          1        2629.5
08          2        1314.7

datapath   port   port-speed(B/s)
01          1          60.0
01          2          60.1
01          3        1381.4
01          4        2514.0
01          5        1948.9
01          6        2580.0

02          1        1380.0
02          2        1950.0

03          1        1950.0
03          2        1257.0

04          1        1948.9
04          2        1948.9

05          1        1948.9
05          2        1381.4

06          1        1381.4
06          2        2579.6

07          1        1257.0
07          2        2516.5
07          3        2579.6
07          4        1255.3
07          5           0.0

08          1        2519.5
08          2        1255.3

datapath   port   port-speed(B/s)
01          1          59.8
01          2          59.8
01          3        1316.1
01          4        2572.3
01          5        1881.4
01          6        2632.1

02          1        1316.1
02          2        2004.0

03          1        2002.0
03          2        1374.5

04          1        1944.2
04          2        2004.0

05          1        2004.0
05          2        1375.9

06          1        1375.9
06          2        2632.1

07          1        1373.1
07          2        2567.2
07          3        2626.9
07          4        1373.1
07          5          59.7

08          1        2632.1
08          2        1375.9

datapath   port   port-speed(B/s)
01          1          59.8
01          2          59.8
01          3        1375.9
01          4        2632.1
01          5        2004.0
01          6        2572.3

02          1        1375.9
02          2        2004.0

03          1        2006.0
03          2        1377.2

04          1        1941.2
04          2        2004.0

05          1        2004.0
05          2        1316.1

06          1        1316.1
06          2        2572.3

07          1        1377.2
07          2        2634.7
07          3        2574.9
07          4        1377.2
07          5          59.9

08          1        2572.3
08          2        1375.9

datapath   port   port-speed(B/s)
01          1          59.7
01          2          59.7
01          3        1373.1
01          4        2626.9
01          5        1940.3
01          6        2626.9

02          1        1373.1
02          2        1940.3

03          1        1938.4
03          2        1371.8

04          1        1940.3
04          2        1817.9

05          1        1817.9
05          2        1310.4

06          1        1310.4
06          2        2626.9

07          1        1375.9
07          2        2632.1
07          3        2632.1
07          4        1375.9
07          5          59.8

08          1        2634.7
08          2        1377.2

datapath   port   port-speed(B/s)
01          1          59.9
01          2          59.9
01          3        1252.7
01          4        2577.4
01          5        2008.0
01          6        2574.4

02          1        1254.0
02          2        1947.0

03          1        1948.9
03          2        1381.4

04          1        2008.0
04          2        2008.0

05          1        2008.0
05          2        1318.7

06          1        1321.3
06          2        2642.6

07          1        1378.6
07          2        2577.4
07          3        2634.7
07          4        1318.7
07          5          59.9

08          1        2571.9
08          2        1317.4

datapath   port   port-speed(B/s)
01          1           0.0
01          2           0.0
01          3        1373.1
01          4        2629.5
01          5        2000.0
01          6        2629.5

02          1        1373.1
02          2        2000.0

03          1        1998.0
03          2        1312.1

04          1        2002.0
04          2        2002.0

05          1        2000.0
05          2        1310.4

06          1        1307.8
06          2        2559.1

07          1        1305.6
07          2        2611.3
07          3        2613.9
07          4        1365.0
