datapath   port   port-speed(B/s)
01          1      273332.7
01          2           0.0
01          3        2632.1
01          4        1374.5
01          5      252635.1
01          6        2002.0

02          1        2632.1
02          2        2004.0

03          1        2004.0
03          2        1316.1

04          1      252449.2
04          2      254834.7

05          1      255088.7
05          2      251441.7

06          1      251441.7
06          2      253519.9

07          1        1316.1
07          2        1375.9
07          3      253838.5
07          4        1253.2
07          5      249122.6

08          1        2002.0
08          2        1252.0

datapath   port   port-speed(B/s)
01          1      267432.3
01          2          59.8
01          3        2629.5
01          4        1374.5
01          5      255462.2
01          6        2002.0

02          1        2629.5
02          2        2002.0

03          1        2000.0
03          2        1373.1

04          1      255396.4
04          2      253261.0

05          1      253261.0
05          2      255589.6

06          1      255335.3
06          2      252006.0

07          1        1373.1
07          2        1373.1
07          3      251755.2
07          4        1313.4
07          5      247186.1

08          1        2002.0
08          2        1314.7

datapath   port   port-speed(B/s)
01          1      262512.0
01          2          60.0
01          3        2577.4
01          4        1197.0
01          5      254847.0
01          6        2010.0

02          1        2580.0
02          2        2010.0

03          1        2010.0
03          2        1380.0

04          1      255102.1
04          2      253022.0

05          1      253022.0
05          2      252514.5

06          1      252514.5
06          2      251883.9

07          1        1381.4
07          2        1198.2
07          3      251883.9
07          4        1381.4
07          5      251569.6

08          1        2010.0
08          2        1380.0

datapath   port   port-speed(B/s)
01          1      260023.9
01          2          59.8
01          3        2572.3
01          4        1374.5
01          5      252553.8
01          6        1942.2

02          1        2569.7
02          2        2002.0

03          1        2004.0
03          2        1374.5

04          1      255249.8
04          2      254622.9

05          1      254622.9
05          2      253867.7

06          1      253930.3
06          2      253369.2

07          1        1374.5
07          2        1373.1
07          3      253369.2
07          4        1374.5
07          5      248668.7

08          1        1942.2
08          2        1374.5

datapath   port   port-speed(B/s)
01          1      263260.7
01          2          59.5
01          3        2616.5
01          4        1367.7
01          5      254196.2
01          6        1992.1

02          1        2616.5
02          2        1932.6

03          1        1932.6
03          2        1369.0

04          1      252950.1
04          2      253808.4

05          1      255111.0
05          2      251551.0

06          1      251488.6
06          2      253799.8

07          1        1366.3
07          2        1430.1
07          3      253799.8
07          4        1366.3
07          5      249123.9

08          1        1992.1
08          2        1367.7

datapath   port   port-speed(B/s)
01          1      265760.8
01          2          60.1
01          3        2642.6
01          4        1381.4
01          5      255120.1
01          6        1952.0

02          1        2642.6
02          2        2012.0

03          1        2010.0
03          2        1380.0

04          1      253476.1
04          2      254435.4

05          1      253124.1
05          2      252370.4

06          1      252370.4
06          2      251859.9

07          1        1385.5
07          2        1322.3
07          3      252618.5
07          4        1385.5
07          5      249395.6

08          1        1948.1
08          2        1378.6

datapath   port   port-speed(B/s)
01          1      274432.2
01          2          59.3
01          3        2611.3
01          4        1365.0
01          5      253800.2
01          6        1988.1

02          1        2611.3
02          2        1928.8

03          1        1930.7
03          2        1306.9

04          1      256918.8
04          2      253303.0

05          1      253303.0
05          2      255480.7

06          1      255796.0
06          2      252180.2

07          1        1314.7
07          2        1374.5
07          3      250671.3
07          4        1311.8
07          5      249051.8

08          1        1994.0
08          2        1369.0

datapath   port   port-speed(B/s)
01          1      286882.6
01          2          60.2
01          3        2584.8
01          4        1384.2
01          5      257189.6
01          6        2016.0

02          1        2584.8
02          2        2016.0

03          1        2012.0
03          2        1381.4

04          1      254218.7
04          2      254975.9

05          1      254975.9
05          2      251625.5

06          1      251376.1
06          2      253655.0

07          1        1369.0
07          2        1369.0
07          3      253890.9
07          4        1372.0
07          5      249388.9

08          1        2010.0
08          2        1320.0

datapath   port   port-speed(B/s)
01          1      296573.1
01          2           0.0
01          3        2626.9
01          4        1373.1
01          5      253516.4
01          6        2000.0

02          1        2634.7
02          2        2006.0

03          1        2004.0
03          2        1316.1

04          1      254021.9
04          2      252072.8

05          1      252072.8
05          2      254460.6

06          1      254648.7
06          2      251129.7

07          1        1320.0
07          2        1380.0
07          3      251566.0
07          4        1257.0
07          5      251318.0

08          1        2010.0
08          2        1257.0

datapath   port   port-speed(B/s)
01          1      310610.8
01          2          59.9
01          3        2574.9
01          4        1317.4
01          5      252953.1
01          6        1943.1

02          1        2567.2
02          2        2000.0

03          1        2004.0
03          2        1375.9

04          1      252198.0
04          2      254581.1

05          1      254581.1
05          2      253831.8

06          1      253579.5
06          2      253075.5

07          1        1373.1
07          2        1312.1
07          3      253141.2
07          4        1371.8
07          5      248379.7

08          1        1933.5
08          2        1370.4

datapath   port   port-speed(B/s)
01          1      331429.1
01          2          59.9
01          3        2574.9
01          4        1317.4
01          5      255780.4
01          6        2006.0

02          1        2574.9
02          2        2004.0

03          1        2006.0
03          2        1377.2

04          1      255780.4
04          2      253706.6

05          1      253453.6
05          2      252951.1

06          1      253203.6
06          2      252509.0

07          1        1375.9
07          2        1317.4
07          3      252509.0
07          4        1377.2
07          5      247926.1

08          1        2010.0
08          2        1380.0

datapath   port   port-speed(B/s)
01          1      345585.7
01          2          59.8
01          3        2629.5
01          4        1374.5
01          5      253765.9
01          6        1942.2

02          1        2629.5
02          2        2004.0

03          1        2004.0
03          2        1375.9

04          1      253828.7
04          2      254900.4

05          1      255154.5
05          2      251444.7

06          1      251444.7
06          2      253832.5

07          1        1375.9
07          2        1375.9
07          3      253832.5
07          4        1375.9
07          5      250566.3

08          1        1944.2
08          2        1374.5

datapath   port   port-speed(B/s)
01          1      379481.0
01          2          60.0
01          3        2574.4
01          4        1317.0
01          5      256172.0
01          6        1887.0

02          1        2577.0
02          2        1950.0

03          1        1948.1
03          2        1378.6

04          1      256428.4
04          2      253016.0

05          1      253016.0
05          2      255290.3

06          1      255290.3
06          2      251883.9

07          1        1380.0
07          2        1317.0
07          3      251632.0
07          4        1380.0
07          5      249810.0

08          1        1885.1
08          2        1380.0

datapath   port   port-speed(B/s)
01          1      382175.1
01          2          59.7
01          3        2629.5
01          4        1373.1
01          5      252010.0
01          6        1937.3

02          1        2626.9
02          2        2000.0

03          1        2000.0
03          2        1313.4

04          1      251825.0
04          2      252763.4

